Unnamed: 0,Property ID,Locality data,Price,Property type,Number of bedrooms,Living area m²,Equipped kitchen,Furnished,Open fire,Terrace surface m²,Garden area m²,Swimming pool,Building condition,Price per m²,Region
7543,11467945,4020,159000,apartment,2.0,81.0,0,0,1,6.0,,0,To be done up,1962.962962962963,Wallonia
8766,11373567,6800,159000,apartment,2.0,75.0,0,0,1,,,0,Good,2120.0,Wallonia
1132,20168235,4020,157000,house,3.0,116.0,0,0,1,,120.0,0,To be done up,1353.448275862069,Wallonia
1261,20212155,4020,155000,house,2.0,80.0,0,1,1,15.0,,0,Good,1937.5,Wallonia
1290,20147307,4000,155000,house,3.0,121.0,1,0,1,11.0,90.0,0,To renovate,1280.9917355371902,Wallonia
7446,20184852,5590,155000,apartment,2.0,72.0,0,0,1,2.0,,0,To renovate,2152.777777777778,Wallonia
9949,20006304,1348,155000,apartment,1.0,38.0,0,0,1,,,0,Good,4078.9473684210525,Wallonia
5100,20090144,4460,155000,house,4.0,94.0,1,0,1,,100.0,0,Good,1648.936170212766,Wallonia
2121,20225546,5542,155000,house,1.0,60.0,0,0,1,22.0,300.0,0,Just renovated,2583.3333333333335,Wallonia
3102,20059453,6747,155000,house,3.0,120.0,0,0,1,,100.0,0,To renovate,1291.6666666666667,Wallonia
3101,20134315,4400,155000,house,3.0,146.0,0,0,1,20.0,425.0,0,To renovate,1061.6438356164383,Wallonia
1851,20194800,4360,155000,house,4.0,147.0,0,0,1,42.0,,0,To be done up,1054.421768707483,Wallonia
3793,20163852,4400,155000,house,3.0,108.0,0,0,1,10.0,100.0,0,To renovate,1435.1851851851852,Wallonia
9042,20034009,6900,155000,apartment,1.0,63.0,0,0,1,,,0,As new,2460.3174603174602,Wallonia
9777,20148649,4681,152000,apartment,2.0,74.0,0,0,1,,,0,Good,2054.054054054054,Wallonia
8954,20233941,4300,150000,apartment,2.0,102.0,0,0,1,,,0,Good,1470.5882352941176,Wallonia
4187,20246661,7080,150000,house,2.0,85.0,0,0,1,25.0,,0,Good,1764.7058823529412,Wallonia
7409,10863349,6700,150000,apartment,2.0,80.0,0,0,1,,,0,To be done up,1875.0,Wallonia
614,20243289,4000,150000,house,2.0,77.0,0,0,1,16.0,95.0,0,To be done up,1948.051948051948,Wallonia
5345,20215421,6700,150000,apartment,2.0,80.0,0,0,1,,,0,To be done up,1875.0,Wallonia
9394,20213328,4430,150000,apartment,2.0,110.0,1,0,1,15.0,,0,Just renovated,1363.6363636363637,Wallonia
1141,20214973,4600,150000,house,3.0,161.0,0,0,1,,518.0,0,To renovate,931.6770186335403,Wallonia
5344,20215422,6700,150000,apartment,2.0,80.0,0,0,1,,,0,To be done up,1875.0,Wallonia
8730,20234447,5590,150000,apartment,1.0,58.0,0,0,1,5.0,,0,Good,2586.206896551724,Wallonia
1063,20119205,4171,150000,house,3.0,104.0,1,0,1,15.0,15.0,0,To be done up,1442.3076923076924,Wallonia
2444,20208725,4470,150000,house,3.0,106.0,0,0,1,,90.0,0,To be done up,1415.0943396226414,Wallonia
1611,20235085,4671,150000,house,4.0,242.0,0,0,1,,570.0,0,To renovate,619.8347107438017,Wallonia
430,20221831,4540,150000,house,4.0,132.0,0,0,1,,237.0,0,To renovate,1136.3636363636363,Wallonia
247,20221831,4540,150000,house,4.0,132.0,0,0,1,,237.0,0,To renovate,1136.3636363636363,Wallonia
3073,20210015,5570,150000,house,3.0,155.0,0,0,1,40.0,,0,To renovate,967.741935483871,Wallonia
4906,20232195,6141,150000,house,2.0,167.0,0,0,1,45.0,444.0,0,To renovate,898.2035928143713,Wallonia
4655,20091769,5570,150000,house,3.0,83.0,0,0,1,20.0,,0,To be done up,1807.2289156626507,Wallonia
2848,20121017,4430,149900,house,3.0,82.0,0,1,1,12.0,70.0,0,Good,1828.0487804878048,Wallonia
3827,20245445,6230,149900,house,3.0,210.0,1,0,1,40.0,200.0,0,To restore,713.8095238095239,Wallonia
1275,20178083,4100,149900,house,4.0,125.0,1,0,1,,175.0,0,To be done up,1199.2,Wallonia
2847,11440186,4100,149900,house,2.0,75.0,0,0,1,,45.0,0,To renovate,1998.6666666666667,Wallonia
2762,20199084,4190,149900,house,1.0,85.0,1,1,1,,,0,To renovate,1763.5294117647059,Wallonia
1436,20181204,4100,149900,house,3.0,92.0,1,0,1,10.0,100.0,0,Good,1629.3478260869565,Wallonia
1924,20245630,4900,149000,house,4.0,167.0,0,0,1,22.0,,0,To renovate,892.2155688622754,Wallonia
608,20221829,4100,149000,house,2.0,57.0,0,0,1,7.0,110.0,0,Just renovated,2614.035087719298,Wallonia
5237,20068440,4400,149000,house,2.0,60.0,0,0,1,43.0,350.0,0,To be done up,2483.3333333333335,Wallonia
10112,20197265,4020,149000,apartment,1.0,51.0,0,0,1,,,0,As new,2921.5686274509803,Wallonia
8454,20074135,4500,149000,apartment,2.0,81.0,0,0,1,,,0,Good,1839.5061728395062,Wallonia
9223,20231346,4800,149000,apartment,2.0,86.0,0,0,1,,,0,Good,1732.5581395348838,Wallonia
5890,20230615,6000,149000,apartment,2.0,85.0,0,0,1,,,0,Good,1752.9411764705883,Wallonia
3790,11422124,4100,149000,house,4.0,105.0,1,0,1,,,0,Good,1419.047619047619,Wallonia
5098,20158174,4000,149000,house,3.0,93.0,1,0,1,,,0,Good,1602.1505376344087,Wallonia
407,20223819,4570,149000,house,2.0,99.0,0,0,1,70.0,1044.0,0,Good,1505.050505050505,Wallonia
1850,20162125,4800,149000,house,5.0,171.0,1,0,1,,,0,To be done up,871.3450292397661,Wallonia
1746,20115582,4040,149000,house,3.0,140.0,0,0,1,,85.0,0,To be done up,1064.2857142857142,Wallonia
6891,20115394,4690,149000,apartment,2.0,100.0,1,0,1,,,0,Good,1490.0,Wallonia
2985,20230552,7100,149000,house,4.0,120.0,0,0,1,20.0,320.0,0,To be done up,1241.6666666666667,Wallonia
2576,20225553,5500,149000,house,3.0,150.0,0,0,1,20.0,78.0,0,Good,993.3333333333334,Wallonia
189,20184408,4602,149000,house,3.0,97.0,1,0,1,19.0,,0,As new,1536.0824742268042,Wallonia
1048,20221829,4100,149000,house,2.0,57.0,0,0,1,7.0,110.0,0,Just renovated,2614.035087719298,Wallonia
4884,20013955,4540,149000,house,4.0,180.0,0,0,1,,269.0,0,To renovate,827.7777777777778,Wallonia
5651,20233353,4500,149000,apartment,2.0,107.0,1,0,1,,,0,Good,1392.5233644859813,Wallonia
2738,20219331,7110,149000,house,2.0,132.0,0,0,1,10.0,54.0,0,To be done up,1128.7878787878788,Wallonia
6482,20184407,4602,149000,apartment,3.0,97.0,1,0,1,19.0,,0,As new,1536.0824742268042,Wallonia
