Unnamed: 0,Property ID,Locality data,Price,Property type,Number of bedrooms,Living area m²,Equipped kitchen,Furnished,Open fire,Terrace surface m²,Garden area m²,Swimming pool,Building condition,Price per m²,Region
8869,11334217,1070,339000,apartment,3.0,105.0,1,0,1,4.0,,0,Just renovated,3228.5714285714284,Brussels
8215,20149383,1150,339000,apartment,2.0,95.0,1,0,1,9.0,,0,Good,3568.4210526315787,Brussels
9365,20197058,1050,339000,apartment,2.0,90.0,0,0,1,,,0,To renovate,3766.6666666666665,Brussels
7128,20198247,1000,339000,apartment,3.0,115.0,0,0,1,,,0,Good,2947.8260869565215,Brussels
5805,20194149,1050,338000,apartment,2.0,76.0,1,0,1,11.0,,0,Good,4447.368421052632,Brussels
6578,20229536,1190,337000,apartment,2.0,84.0,0,0,1,34.0,,0,As new,4011.904761904762,Brussels
10192,11353012,1210,335000,apartment,2.0,90.0,0,0,1,,,0,Good,3722.222222222222,Brussels
9754,11381688,1150,335000,apartment,2.0,95.0,0,0,1,5.0,,0,To be done up,3526.315789473684,Brussels
9533,20199669,1070,335000,apartment,3.0,117.0,1,0,1,16.0,,0,As new,2863.2478632478633,Brussels
8563,20156420,1070,335000,apartment,3.0,118.0,0,0,1,17.0,,0,As new,2838.9830508474574,Brussels
8774,20192866,1000,335000,apartment,1.0,58.0,0,0,1,,,0,As new,5775.862068965517,Brussels
5874,20218592,1070,335000,apartment,2.0,100.0,0,0,1,21.0,,0,As new,3350.0,Brussels
9419,11028009,1150,335000,apartment,3.0,110.0,0,0,1,6.0,,0,Good,3045.4545454545455,Brussels
7355,11433781,1150,335000,apartment,1.0,61.0,0,0,1,,,0,As new,5491.803278688524,Brussels
8408,20200468,1000,335000,apartment,1.0,80.0,1,0,1,,,1,Good,4187.5,Brussels
9418,20127457,1070,335000,apartment,3.0,140.0,1,0,1,3.0,,0,To renovate,2392.8571428571427,Brussels
9417,20129031,1050,335000,apartment,1.0,79.0,1,0,1,13.0,,0,Good,4240.506329113924,Brussels
9128,11419251,1070,335000,apartment,3.0,118.0,0,0,1,17.0,,0,As new,2838.9830508474574,Brussels
7293,20211939,1210,335000,apartment,2.0,90.0,0,0,1,,,0,As new,3722.222222222222,Brussels
8105,20131157,1190,335000,apartment,1.0,73.0,0,0,1,11.0,,0,As new,4589.041095890411,Brussels
7432,20174909,1030,335000,apartment,2.0,89.0,1,0,1,14.0,,0,As new,3764.044943820225,Brussels
7619,20188368,1200,335000,apartment,2.0,100.0,1,0,1,11.0,,0,Good,3350.0,Brussels
7665,20184377,1030,334000,apartment,1.0,63.0,0,0,1,15.0,35.0,0,Good,5301.587301587301,Brussels
6018,20198331,1020,334000,apartment,3.0,107.0,1,0,1,30.0,85.0,0,Good,3121.495327102804,Brussels
8214,20184376,1030,330000,apartment,2.0,116.0,0,0,1,6.0,,0,To be done up,2844.8275862068967,Brussels
7726,20233532,1082,330000,apartment,2.0,90.0,0,0,1,36.0,,0,As new,3666.6666666666665,Brussels
10190,20162537,1020,330000,apartment,4.0,130.0,0,0,1,,,0,Just renovated,2538.4615384615386,Brussels
7828,20135207,1030,330000,apartment,2.0,96.0,1,0,1,,,0,As new,3437.5,Brussels
7195,11367670,1070,330000,apartment,2.0,102.0,0,0,1,36.0,,0,As new,3235.294117647059,Brussels
5458,20228201,1210,330000,apartment,2.0,92.0,0,1,1,,,0,As new,3586.9565217391305,Brussels
7002,20234559,1180,330000,apartment,2.0,95.0,0,0,1,11.0,,0,Good,3473.684210526316,Brussels
7008,20163440,1180,330000,apartment,2.0,98.0,1,0,1,12.0,,0,To renovate,3367.3469387755104,Brussels
5744,20227029,1140,330000,apartment,3.0,100.0,0,0,1,11.0,,0,Just renovated,3300.0,Brussels
5779,20149055,1180,330000,apartment,2.0,90.0,1,0,1,2.0,,0,Good,3666.6666666666665,Brussels
5822,20200112,1040,330000,apartment,1.0,83.0,0,0,1,3.0,,0,Good,3975.9036144578313,Brussels
10191,20145468,1200,330000,apartment,2.0,95.0,1,0,1,6.0,,0,As new,3473.684210526316,Brussels
6001,20220237,1030,329000,apartment,2.0,173.0,0,0,1,20.0,40.0,0,To be done up,1901.7341040462427,Brussels
5625,20144806,1180,329000,apartment,3.0,90.0,1,0,1,13.0,,0,To be done up,3655.5555555555557,Brussels
6548,20212983,1030,329000,apartment,2.0,120.0,0,0,1,7.0,,0,To be done up,2741.6666666666665,Brussels
6747,20136532,1080,329000,apartment,3.0,136.0,1,0,1,30.0,,0,Good,2419.1176470588234,Brussels
6329,20230996,1180,329000,apartment,1.0,87.0,0,0,1,12.0,,0,As new,3781.609195402299,Brussels
6313,20243096,1180,328000,apartment,1.0,82.0,0,0,1,5.0,,0,Just renovated,4000.0,Brussels
7603,20229449,1070,328000,apartment,2.0,113.0,0,0,1,15.0,,0,As new,2902.6548672566373,Brussels
5422,20229538,1190,327000,apartment,2.0,94.0,0,0,1,2.0,,0,As new,3478.723404255319,Brussels
8772,20192868,1000,325000,apartment,1.0,53.0,0,0,1,,,0,As new,6132.075471698113,Brussels
9363,20203138,1200,325000,apartment,2.0,110.0,0,0,1,18.0,,0,To renovate,2954.5454545454545,Brussels
7073,20148723,1050,325000,apartment,1.0,55.0,0,0,1,6.0,,0,Just renovated,5909.090909090909,Brussels
6487,20205351,1080,325000,apartment,3.0,117.0,0,0,1,16.0,,0,As new,2777.777777777778,Brussels
8074,11346058,1200,325000,apartment,2.0,117.0,1,0,1,12.0,,0,Good,2777.777777777778,Brussels
10184,11335226,1030,325000,apartment,2.0,85.0,0,0,1,2.0,,0,As new,3823.529411764706,Brussels
6769,20244902,1070,325000,apartment,3.0,118.0,0,0,1,,,0,As new,2754.237288135593,Brussels
6691,20177560,1150,325000,apartment,2.0,100.0,0,0,1,9.0,,0,Good,3250.0,Brussels
5410,20220035,1000,325000,apartment,2.0,89.0,1,0,1,18.0,,0,Good,3651.6853932584268,Brussels
10185,20132132,1070,325000,apartment,2.0,86.0,0,0,1,61.0,,0,As new,3779.0697674418607,Brussels
6421,20229182,1160,325000,apartment,1.0,66.0,0,0,1,6.0,,0,Just renovated,4924.242424242424,Brussels
9362,20207190,1000,325000,apartment,1.0,100.0,0,0,1,15.0,,0,Just renovated,3250.0,Brussels
5954,20175167,1150,325000,apartment,2.0,100.0,0,0,1,10.0,,0,As new,3250.0,Brussels
7461,20159183,1080,325000,apartment,3.0,128.0,1,0,1,40.0,,0,As new,2539.0625,Brussels
5994,20188392,1050,325000,apartment,2.0,83.0,1,0,1,3.0,,0,Good,3915.6626506024095,Brussels
7354,11179448,1200,325000,apartment,1.0,75.0,0,0,1,6.0,,0,As new,4333.333333333333,Brussels
7258,20246376,1140,325000,apartment,1.0,65.0,0,0,1,25.0,,0,As new,5000.0,Brussels
9514,20002875,1090,325000,apartment,2.0,97.0,0,0,1,,19.0,0,As new,3350.5154639175257,Brussels
9688,20206353,1150,325000,apartment,2.0,71.0,0,0,1,,,0,Good,4577.4647887323945,Brussels
7735,20184637,1000,325000,apartment,2.0,107.0,0,0,1,5.0,,0,As new,3037.3831775700933,Brussels
7737,20189076,1020,325000,apartment,2.0,102.0,0,0,1,7.0,,0,As new,3186.274509803922,Brussels
